task_id,domain,difficulty,raw_plan,parse_success,parse_error,all_constraints_pass,violated_constraints,hard_checks,soft_scores,soft_mean_score,combined_quality,portfolio_max_drawdown,portfolio_min_assets,portfolio_banned_sectors,portfolio_target_risk,portfolio_target_esg,portfolio_market_regime,portfolio_actual_weight_sum,portfolio_actual_num_assets,portfolio_actual_sectors,portfolio_actual_max_drawdown,portfolio_actual_annualized_return,portfolio_actual_annualized_volatility,portfolio_actual_esg_score,portfolio_actual_risk_adjusted_return,portfolio_actual_turnover,portfolio_turnover_penalty_scale,retirement_portfolio_value,retirement_current_age,retirement_target_age,retirement_min_monthly_income,retirement_inflation_assumption,retirement_return_assumption,retirement_survival_threshold,retirement_actual_monthly_income_target,retirement_actual_inflation_adjusted_flag,retirement_actual_survival_probability,retirement_actual_depletion_probability,retirement_actual_ending_balance_median,retirement_actual_ending_balance_mean,retirement_actual_years_survived_median,retirement_actual_lifestyle_quality_base,retirement_actual_lifestyle_quality_score,retirement_actual_withdrawal_smoothness,retirement_actual_starting_balance,retirement_bequest_preference,loan_annual_income,loan_credit_band,loan_max_dti,loan_max_ltv,loan_base_rate,loan_actual_monthly_payment,loan_actual_dti,loan_actual_ltv,loan_actual_rate_type,loan_actual_total_interest_ratio,loan_actual_term_months,loan_actual_prepayment_option,loan_actual_annual_rate,loan_actual_loan_amount,loan_actual_property_value,loan_actual_existing_monthly_debt,auditor_label,auditor_notes,is_reward_correct,is_parse_result_correct
3f7d51fc-f270-46e1-8821-6af83f5163e8,portfolio,easy,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.547253864039452, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.4240693799883073}",0.6034558110069398,0.6034558110069398,0.3,3,"[""FOSSIL""]",0.18,0.4,bull,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.15426730016064422,0.08858730138287803,0.09850569552710134,0.7075,0.4240693799883073,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986f1f31-43a1-43fb-a21a-fc14c6a4ea87,portfolio,medium,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,0,"[""drawdown_valid""]","{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 0}","{""risk_alignment"": 0.6865907263053155, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.3472971694117181}",0.6190969739292584,0.0,0.22,4,[],0.1,0.4,bear,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.22141962222901332,0.07111640184383736,0.13134092736946845,0.7075,0.3472971694117181,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9c396a4-d51b-4937-a625-14c8588fd059,portfolio,medium,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.547253864039452, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.4240693799883073}",0.6034558110069398,0.6034558110069398,0.22,4,"[""TOBACCO""]",0.18,0.4,bull,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.15426730016064422,0.08858730138287803,0.09850569552710134,0.7075,0.4240693799883073,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70710d70-9a2e-409b-974a-b90088cdc821,portfolio,hard,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,0,"[""diversification_valid"", ""drawdown_valid""]","{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 0, ""drawdown_valid"": 0}","{""risk_alignment"": 0.684067330049315, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.8, ""risk_adjusted_return"": 0.3895536092827994}",0.6415302348330286,0.0,0.16,5,"[""TOBACCO"", ""FOSSIL""]",0.16,0.4,neutral,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.17781042255013763,0.08109700153653114,0.1094507728078904,0.7075,0.3895536092827994,0.25,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50527a7a-83a4-4ef7-9ba6-e84e4895a143,portfolio,hard,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,0,"[""diversification_valid""]","{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 0, ""drawdown_valid"": 1}","{""risk_alignment"": 0.8208807960591779, ""esg_alignment"": 0.9075, ""tax_efficiency"": 0.8, ""risk_adjusted_return"": 0.4240693799883073}",0.7381125440118713,0.0,0.16,5,"[""FOSSIL""]",0.12,0.8,bull,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.15426730016064422,0.08858730138287803,0.09850569552710134,0.7075,0.4240693799883073,0.25,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f71bfc9-ecdb-4b8f-85af-eb6bba0816a5,portfolio,easy,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.547253864039452, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.4240693799883073}",0.6034558110069398,0.6034558110069398,0.3,3,"[""TOBACCO"", ""FOSSIL""]",0.18,0.4,bull,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.15426730016064422,0.08858730138287803,0.09850569552710134,0.7075,0.4240693799883073,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd204729-d925-477c-9e9e-a35862034024,portfolio,easy,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.6080598489327245, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.3895536092827994}",0.610028364553881,0.610028364553881,0.3,3,"[""FOSSIL""]",0.18,0.4,neutral,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.17781042255013763,0.08109700153653114,0.1094507728078904,0.7075,0.3895536092827994,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f2abb16-3100-49fe-a659-304fe9f4cd20,portfolio,easy,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.6080598489327245, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.3895536092827994}",0.610028364553881,0.610028364553881,0.3,3,"[""TOBACCO""]",0.18,0.4,neutral,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.17781042255013763,0.08109700153653114,0.1094507728078904,0.7075,0.3895536092827994,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca489531-4041-4080-bf89-c73df7ddd66a,portfolio,easy,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.6080598489327245, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.75, ""risk_adjusted_return"": 0.3895536092827994}",0.610028364553881,0.610028364553881,0.3,3,[],0.18,0.4,neutral,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.17781042255013763,0.08109700153653114,0.1094507728078904,0.7075,0.3895536092827994,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c67197c-02eb-455c-8249-e7081b736abd,portfolio,easy,"{""allocations"": [{""asset"": ""US_EQ"", ""sector"": ""TECH"", ""weight"": 0.3}, {""asset"": ""INTL_EQ"", ""sector"": ""INDUSTRIALS"", ""weight"": 0.2}, {""asset"": ""BONDS"", ""sector"": ""GOVT"", ""weight"": 0.35}, {""asset"": ""CASH"", ""sector"": ""CASH"", ""weight"": 0.15}]}",True,,1,[],"{""parse_valid"": 1, ""weights_sum_valid"": 1, ""banned_sector_valid"": 1, ""diversification_valid"": 1, ""drawdown_valid"": 1}","{""risk_alignment"": 0.547253864039452, ""esg_alignment"": 0.6925, ""tax_efficiency"": 0.8, ""risk_adjusted_return"": 0.4240693799883073}",0.6159558110069399,0.6159558110069399,0.3,3,"[""TOBACCO"", ""FOSSIL""]",0.18,0.4,bull,1.0,4,"[""TECH"", ""INDUSTRIALS"", ""GOVT"", ""CASH""]",0.15426730016064422,0.08858730138287803,0.09850569552710134,0.7075,0.4240693799883073,0.25,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
